minute,req_count,unique_hosts,status_2xx,status_3xx,status_4xx,status_5xx,error_rate,bytes_sum,bytes_mean,method_GET,method_POST,method_HEAD,path_depth_mean,resource_entropy,host_entropy,static_ratio,robots_ratio,req_roll_mean,req_roll_std,err_roll_mean,err_roll_std,req_count_ratio,error_rate_ratio,req_z,err_z,iso_score,is_anomaly,any_error,is_actionable
1995-08-30 06:49:00+00:00,21,6,9,0,12,0,0.5714285714285714,689296,32823.619047619046,1.0,0.0,0.0,3.6666666666666665,2.7179717342678,1.5064431878202946,0.38095238095238093,0.0,21.833333333333332,9.89806806465028,0.04854206466869707,0.12842752820617295,0.9618320610246489,11.771822306216027,-0.0841915137182464,4.0714518919105815,-0.6116359604442289,1,True,True
1995-08-30 06:54:00+00:00,22,6,14,1,7,0,0.3181818181818182,211991,9635.954545454546,1.0,0.0,0.0,3.227272727272727,3.879664004902594,2.184927072396036,0.5,0.0,21.733333333333334,9.72480084178847,0.055178985252986076,0.13302580984938914,1.01226993860373,5.76635853226824,0.0274212984900781,1.9770812239333162,-0.5427087756072344,0,True,True
1995-08-30 12:39:00+00:00,114,27,100,12,2,0,0.017543859649122806,1681059,14746.131578947368,1.0,0.0,0.0,2.6052631578947367,5.424719753462415,4.367292542170438,0.7017543859649122,0.0,57.78333333333333,19.05931123185685,0.004768422431500371,0.011821050558976469,1.9728872223483205,3.6791740291408392,2.9495644401752186,1.0807361048959507,-0.5839240998736049,1,True,True
1995-08-30 12:46:00+00:00,100,30,91,9,0,0,0.0,578369,5783.69,0.91,0.0,0.09,2.46,5.071343131665918,4.564589475108926,0.62,0.0,62.1,19.666455998106002,0.003583496246574186,0.010180326218103391,1.6103059581061143,0.0,1.9271392874101392,-0.3520020692656867,-0.571167465809094,1,False,True
1995-08-30 13:20:00+00:00,76,26,60,8,8,0,0.10526315789473684,673684,8864.263157894737,1.0,0.0,0.0,2.5526315789473686,5.079889356428231,4.3637122571799285,0.47368421052631576,0.0,67.08333333333333,19.308636573505108,0.00677288732812954,0.017361173838944942,1.1329192546414968,15.541841647905514,0.4617968043606005,5.6730187605548394,-0.6070497681529504,1,True,True
1995-08-30 13:34:00+00:00,80,23,56,23,1,0,0.0125,708968,8862.1,0.9375,0.0,0.0625,2.875,4.902367001729385,4.256757745582578,0.65,0.0,71.13333333333334,17.30628049676717,0.005523372953615164,0.015870586083419947,1.1246485473131491,2.2631094879640528,0.5123380883495229,0.43959476796377256,-0.5615596469082198,1,True,True
1995-08-30 14:48:00+00:00,114,27,104,7,3,0,0.02631578947368421,1015208,8905.333333333334,0.9912280701754386,0.0,0.008771929824561403,2.8508771929824563,5.2711252358806,4.505578668423578,0.631578947368421,0.0,79.6,17.281517510266347,0.0033622367524771485,0.007141231070091689,1.4321608040021085,7.826867524254017,1.990565931352591,3.214228650730903,-0.592279799328552,1,True,True
1995-08-30 14:49:00+00:00,145,32,135,9,1,0,0.006896551724137931,974755,6722.448275862069,1.0,0.0,0.0,2.6413793103448278,5.415986438247166,4.573615699331723,0.696551724137931,0.0,80.78333333333333,19.21430581682862,0.0034771792812127804,0.00714169866542303,1.7949246956658353,1.9833747940536846,3.3421278538765185,0.4787897283723997,-0.5754785206982596,1,True,True
1995-08-30 14:50:00+00:00,149,40,140,7,2,0,0.013422818791946308,1694903,11375.187919463087,1.0,0.0,0.0,3.0067114093959733,6.068724877191952,4.833492497842999,0.5503355704697986,0.0,82.18333333333334,21.020161158784163,0.003444482671334963,0.007090567016672601,1.813019671444173,3.8969030115169883,3.178694309656413,1.4072689377139478,-0.6135715488964326,1,True,True
1995-08-30 15:02:00+00:00,195,44,183,12,0,0,0.0,1768665,9070.076923076924,1.0,0.0,0.0,2.5641025641025643,4.983082638959362,5.0828604741866865,0.6,0.0,83.15,25.224298884950272,0.0029158840907926847,0.006484792295479093,2.3451593505430526,0.0,4.434216407985061,-0.4496495042988507,-0.5808728631426339,1,False,True
1995-08-30 15:04:00+00:00,125,35,89,34,2,0,0.016,847609,6780.872,1.0,0.0,0.0,2.576,5.248064579461223,4.754097683467657,0.552,0.0,83.5,25.57242953929854,0.0031825507574593515,0.006688624770918797,1.4970059880060238,5.027412346868756,1.6228415033699422,1.9163053340895693,-0.59267469153981,1,True,True
1995-08-30 15:11:00+00:00,114,32,91,20,3,0,0.02631578947368421,2015879,17683.14912280702,1.0,0.0,0.0,2.736842105263158,4.932886067741096,4.656404687397208,0.6403508771929824,0.0,86.25,25.413612394055082,0.0036488746130754032,0.00734376029570079,1.3217391304194581,7.2120270089185965,1.0919344943420766,3.0865538717712067,-0.6057033985319075,1,True,True
1995-08-30 15:14:00+00:00,113,38,96,16,1,0,0.008849557522123894,3177602,28120.37168141593,1.0,0.0,0.0,2.752212389380531,5.160027835036261,4.883930535631509,0.6194690265486725,0.0,87.68333333333334,25.279784692997477,0.0035394428118242574,0.0068451854628754985,1.2887283786205428,2.50026783659062,1.0014589512179644,0.7757443481048703,-0.5694114494773315,1,True,True
1995-08-30 15:19:00+00:00,108,33,82,24,2,0,0.018518518518518517,702433,6504.009259259259,1.0,0.0,0.0,2.7685185185185186,5.307482178507897,4.659062910921339,0.5,0.0,89.38333333333334,24.89373460529549,0.003798926620732506,0.00704374994134548,1.2082789483362861,4.874670003570058,0.7478454704003555,2.089737700886725,-0.5729088063263912,1,True,True
1995-08-30 15:56:00+00:00,36,15,32,1,3,0,0.08333333333333333,1505873,41829.805555555555,0.9722222222222222,0.0,0.027777777777777776,2.9722222222222223,4.704511459715548,3.6395476700589557,0.4444444444444444,0.0,79.8,24.41505509422931,0.004243558559753947,0.012044110055244578,0.45112781954321896,19.63760191412636,-1.7939750628929974,6.566675980552333,-0.6046664996541831,1,True,True
1995-08-30 16:07:00+00:00,112,30,95,14,3,0,0.026785714285714284,1829913,16338.50892857143,1.0,0.0,0.0,2.5892857142857144,5.279101650970142,4.595364270652572,0.6071428571428571,0.0,75.1,18.306894135307903,0.004014628279507877,0.012234446813063507,1.4913448734821393,6.672026835065015,2.0156340952896294,1.86122711495751,-0.5880304527269495,1,True,True
1995-08-30 17:03:00+00:00,112,29,92,20,0,0,0.0,1192277,10645.330357142857,0.9464285714285714,0.0,0.05357142857142857,2.705357142857143,5.370553410935922,4.535401882394932,0.625,0.0,73.76666666666667,17.07150134557899,0.003359948502980005,0.00772214161955194,1.5183009489175106,0.0,2.2395999365922803,-0.43510573017297605,-0.5737787902192313,1,False,True
1995-08-30 17:06:00+00:00,79,21,75,3,1,0,0.012658227848101266,1032316,13067.291139240506,0.9113924050632911,0.0,0.08860759493670886,2.670886075949367,5.362254920232751,3.8908418515277505,0.6455696202531646,0.0,74.53333333333333,16.748859477150248,0.003998269394465453,0.008289400497683007,1.059928443635153,3.1659259127704895,0.266684825464902,1.0447024982510957,-0.5590231002577054,1,True,True
1995-08-30 17:11:00+00:00,102,34,89,11,2,0,0.0196078431372549,2388247,23414.186274509804,1.0,0.0,0.0,2.5294117647058822,4.9640461428601474,4.737157239485231,0.6764705882352942,0.0,74.01666666666667,16.563684666085898,0.004205435594278713,0.008237598987886289,1.3780680026834757,4.662498814969745,1.6894389078137728,1.8697688119872327,-0.5731007215159899,1,True,True
1995-08-30 17:25:00+00:00,123,34,116,6,1,0,0.008130081300813009,2156549,17532.91869918699,1.0,0.0,0.0,2.8780487804878048,5.855127464998961,4.740569132576451,0.6097560975609756,0.0,79.15,18.487581723040925,0.0043472620369847175,0.007799755966258149,1.5540113707952745,1.8701608878150773,2.371862402262067,0.48499194015824043,-0.5645096034235271,1,True,True
1995-08-30 17:32:00+00:00,119,32,85,32,2,0,0.01680672268907563,1340901,11268.0756302521,1.0,0.0,0.0,2.773109243697479,5.165871227932991,4.703242663561249,0.6470588235294118,0.0,80.88333333333334,19.717575113628886,0.004135475933654497,0.007748757171051677,1.4712548938618841,4.064034924799744,1.9331315562422835,1.635261609112956,-0.5838042409172827,1,True,True
1995-08-30 17:56:00+00:00,64,23,49,4,11,0,0.171875,875662,13682.21875,1.0,0.0,0.0,3.234375,5.063810203736037,4.038702445739504,0.640625,0.0,84.06666666666666,18.79764379993923,0.007380409633737442,0.022957759308911647,0.7613005551059322,23.287999615403844,-1.0675096772322086,7.165097472614075,-0.617055855260126,1,True,True
